250216796127363072,Mon Sep 24 12:55:07 +0000 2012,Or maybe I'm just dumb ASDFGHJKL,,,,False,243631512,None,None,None,,en
250216796144152576,Mon Sep 24 12:55:07 +0000 2012,And it really makes me wonder if I ever gave a fuck about you.,,,,False,42981144,None,None,None,Massachusetts,en
250216796139962370,Mon Sep 24 12:55:07 +0000 2012,"Live broadcast from Radio Colonia: ""RADIO COLONIA"" http://t.co/jR7yj1mP #mixlr #electronic","mixlr
electronic",http://t.co/jR7yj1mP,,False,156635285,None,None,None,,en
250216796135768065,Mon Sep 24 12:55:07 +0000 2012,結論：とりあえず飲み込んで、時間が経った頃に落し物かのようにポロッと出す。よし。,,,,False,233526462,None,None,None,大阪府・おおさかし,ja
250216796144164865,Mon Sep 24 12:55:07 +0000 2012,"McDonald's hamburger contains only 15% real beef, while other 85% is meat filler and pink slime cleansed with ammonia which can cause cancer",,,,False,100964407,None,None,None,philippines,en
250216796131581953,Mon Sep 24 12:55:07 +0000 2012,The part 2 of the imagine doesn't want to be posted. :((( huhuhu. I'm gonna try it again.,,,,False,549095674,None,None,None,Nialler's heart.,en
250216796144164864,Mon Sep 24 12:55:07 +0000 2012,i have to get used to my own new pic.....,,,,False,812711773,None,None,None,pocket full of sunshine,en
250216796165115904,Mon Sep 24 12:55:07 +0000 2012,ほんまむかつくねんけどばーか,,,,False,777685368,None,None,None,,ja
250216796131557376,Mon Sep 24 12:55:07 +0000 2012,I'm mean hahahaha convo with keith. His reply made me laugh LOL  http://t.co/G8xlzYAj,,http://t.co/G8xlzYAj,,False,135136517,None,None,None,Singapore,en
250216796152553472,Mon Sep 24 12:55:07 +0000 2012,vou apresentar trabalho de ingles agora e vou ter que falar... vou fazer sotaque britanico rsrs sqn,,,,False,636746265,None,None,None,Brazil :-),en
250216796148359168,Mon Sep 24 12:55:07 +0000 2012,【生放送】【サイレントヒル３】終わらせる を開始しました。 http://t.co/Wj1UGpBX #lv109279298,lv109279298,http://t.co/Wj1UGpBX,,False,129359627,None,None,None,関東,ja
250216796127379456,Mon Sep 24 12:55:07 +0000 2012,Grrrrrrrrr,,,,False,512300050,None,None,None,everywhere at once.,en
